in:Altura [m],in:Apertura [%],in:Materiales,out:Energía [kWh/m2],out:ASE250 [%Area],out:UDI300 [%],out:UDI+ [%],out:DA300 [%],out:DA500 [%],out:DA750 [%],out:DA1000 [%],out:DA1250 [%],out:Valor m2/p [COP],img_1
10,0.15,S,10.6,23,92.4,5.2,97.7,81.3,56.7,40.6,30,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.15_materiales3_c.png
3,0.2,S,14.1,55.7,72.5,27.5,100,100,97.8,91.6,82.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.2_materiales3_c.png
4,0.2,S,14.1,62.8,75.1,24.9,100,99.8,96.6,89.6,79.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.2_materiales3_c.png
5,0.2,S,14.1,53,78.9,21,99.9,99.5,94.6,85.2,73.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.2_materiales3_c.png
6,0.2,S,14.1,51,81.6,18.3,99.9,98.7,91.2,79.4,66.9,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.2_materiales3_c.png
8,0.2,S,14.1,42.6,86.4,13.4,99.7,96.7,84.3,67.3,55,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.2_materiales3_c.png
10,0.2,S,14.1,30,91,8.5,99.5,94,76.4,58.1,46.4,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.2_materiales3_c.png
3,0.25,S,17.6,73.9,61,39,100,100,99.5,96.9,91.3,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.25_materiales3_c.png
4,0.25,S,17.6,76,62.3,37.7,100,100,99.3,95.2,89.2,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.25_materiales3_c.png
5,0.25,S,17.6,65.1,67.3,32.7,100,100,98.1,92,85,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.25_materiales3_c.png
6,0.25,S,17.6,64.4,71.8,28,99.9,99.7,96.7,89.4,79.9,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.25_materiales3_c.png
8,0.25,S,17.6,54.2,79.8,20.1,99.9,99.3,93.3,81.9,68.5,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.25_materiales3_c.png
10,0.25,S,17.6,36.8,85.6,14.3,99.9,98.3,88,72.1,58.7,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.25_materiales3_c.png
3,0.3,S,21.1,99.3,48.1,51.9,100,100,100,98.8,96.5,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.3_materiales3_c.png
4,0.3,S,21.1,89.3,48,51.9,100,100,99.9,98.2,94.3,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.3_materiales3_c.png
5,0.3,S,21.1,82.3,54.1,45.9,100,100,99.5,96.7,91.4,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.3_materiales3_c.png
6,0.3,S,21.1,78.8,60.3,39.7,100,100,99,94.7,87.8,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.3_materiales3_c.png
8,0.3,S,21.1,63.8,71.1,28.9,100,100,97.2,89.5,79.6,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.3_materiales3_c.png
10,0.3,S,21.1,44.5,77.4,22.6,100,99.7,94.6,83.5,69.4,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.3_materiales3_c.png
3,0.05,CS,4,23.8,68.2,5.2,73.4,36.8,15.7,9,6.7,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.05_materiales4_c.png
4,0.05,CS,4,7.4,67,1.9,68.9,33.3,12.9,5.4,3.4,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.05_materiales4_c.png
5,0.05,CS,4,10.3,59,2.9,61.9,32.7,13.3,6.8,4.2,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.05_materiales4_c.png
6,0.05,CS,4,16.7,50.9,4.1,55,27.5,13.4,7.8,5.4,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.05_materiales4_c.png
8,0.05,CS,4,11.3,38.3,2.5,40.8,18.8,6.8,4,2.9,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.05_materiales4_c.png
10,0.05,CS,4,9.9,33.8,1.8,35.6,19.2,9,4.7,2.7,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.05_materiales4_c.png
3,0.1,CS,7.9,36.6,89.3,8.9,98.2,83.9,59.4,37.3,25.5,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.1_materiales4_c.png
4,0.1,CS,7.9,20.5,90.9,5.3,96.1,81.2,57.9,35.6,20.9,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.1_materiales4_c.png
5,0.1,CS,7.9,25.6,88.7,6.8,95.4,75.8,51.5,30.9,18.1,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.1_materiales4_c.png
6,0.1,CS,7.9,29.8,84.8,7.3,92.1,68.5,46.7,27.8,18,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.1_materiales4_c.png
8,0.1,CS,7.9,22,81.5,5.2,86.7,56.8,35.9,21.6,12.3,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.1_materiales4_c.png
10,0.1,CS,7.9,16.7,74.6,3.7,78.3,46.3,28.8,17,9.8,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.1_materiales4_c.png
3,0.15,CS,11.9,48.1,85.6,14.4,100,97.1,84.8,69,52.1,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.15_materiales4_c.png
4,0.15,CS,11.9,38.4,88.9,10.9,99.8,95.6,81.7,67,49.9,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.15_materiales4_c.png
5,0.15,CS,11.9,39.6,88.7,10.6,99.3,93.1,76.4,59.8,46.1,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.15_materiales4_c.png
6,0.15,CS,11.9,42.4,87.5,11.1,98.6,89.4,69.2,54.2,39.8,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.15_materiales4_c.png
8,0.15,CS,11.9,34.2,89.3,8.8,98.1,83.8,59.5,44.5,32.6,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.15_materiales4_c.png
10,0.15,CS,11.9,23,89.7,5.1,94.8,73.7,48.4,34.3,24,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.15_materiales4_c.png
3,0.2,CS,15.8,55.4,78.7,21.3,100,99.6,94.9,85.5,73.4,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.2_materiales4_c.png
4,0.2,CS,15.8,62.6,79.2,20.7,99.9,99.1,93.2,82.5,70.7,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.2_materiales4_c.png
5,0.2,CS,15.8,52.9,82.7,17.3,100,98.9,90.6,78,65.4,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.2_materiales4_c.png
6,0.2,CS,15.8,50.9,84.3,15.2,99.5,96.8,85.5,70.9,59.4,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.2_materiales4_c.png
8,0.2,CS,15.8,42.6,87.9,11.9,99.8,94.3,77.6,60.8,49.3,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.2_materiales4_c.png
10,0.2,CS,15.8,30,92.3,7.2,99.5,89.9,66.2,47.7,36.9,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.2_materiales4_c.png
3,0.25,CS,19.8,73.4,67,33,100,100,98.4,93.7,85.6,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.25_materiales4_c.png
4,0.25,CS,19.8,75.8,70.2,29.7,99.9,99.9,97.5,91.5,82.2,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.25_materiales4_c.png
5,0.25,CS,19.8,65.1,74.4,25.6,100,99.8,95.8,87.5,77.7,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.25_materiales4_c.png
6,0.25,CS,19.8,64.4,76.8,23.1,99.9,99.5,93.6,83.9,71.8,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.25_materiales4_c.png
8,0.25,CS,19.8,54.2,83.2,16.8,100,98.2,88.4,73.8,61,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.25_materiales4_c.png
10,0.25,CS,19.8,36.8,88.8,11,99.8,96.1,81.4,63.6,50.9,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.25_materiales4_c.png
3,0.3,CS,23.7,98.7,57.5,42.5,100,100,99.7,97.3,92.5,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.3_materiales4_c.png
4,0.3,CS,23.7,89.1,58.7,41.3,100,100,99.2,96,90.4,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.3_materiales4_c.png
5,0.3,CS,23.7,82.2,64.1,35.9,100,100,98.8,93.5,86.3,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.3_materiales4_c.png
6,0.3,CS,23.7,78.7,68.4,31.6,100,100,97.4,90.5,81.6,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.3_materiales4_c.png
8,0.3,CS,23.7,63.8,76.3,23.7,100,99.7,94.2,84,70.9,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.3_materiales4_c.png
10,0.3,CS,23.7,44.5,83.5,16.4,99.9,98.9,89.3,74.5,60.5,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.3_materiales4_c.png
3,0.05,T,23.7,24.1,86.3,5.2,91.5,66.4,36.7,20.3,12.4,20.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.05_materiales5_c.png
4,0.05,T,23.7,7.6,84.7,2.1,86.8,62.4,35,17.1,9,20.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.05_materiales5_c.png
5,0.05,T,23.7,10.3,79.3,3,82.3,56.1,31.5,16.9,10.1,20.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.05_materiales5_c.png
6,0.05,T,23.7,16.8,73.2,4.2,77.4,50.9,27.1,14.9,9.2,20.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.05_materiales5_c.png
8,0.05,T,23.7,11.3,62.9,2.5,65.4,38.1,20.4,11.1,6.2,20.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.05_materiales5_c.png
10,0.05,T,23.7,9.9,51.5,1.9,53.4,29.8,17.9,11.2,6.3,20.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.05_materiales5_c.png
3,0.1,T,23.7,37,88.8,11.1,100,97.2,85.2,69.5,53.1,10.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.1_materiales5_c.png
4,0.1,T,23.7,20.8,92,7.4,99.4,94.9,81.1,64.9,49.4,10.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.1_materiales5_c.png
5,0.1,T,23.7,25.7,91.3,7.8,99.1,92.7,75.3,58.2,44.7,10.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.1_materiales5_c.png
6,0.1,T,23.7,29.9,89.8,7.8,97.6,88.3,68.1,52.2,38.5,10.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.1_materiales5_c.png
8,0.1,T,23.7,22,90.7,5.3,96,80.1,55.7,40.5,28.9,10.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.1_materiales5_c.png
10,0.1,T,23.7,16.7,89.1,4,93.1,70.2,43.4,28.9,19.7,10.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.1_materiales5_c.png
3,0.15,T,23.7,48.9,75.7,24.3,100,100,97.1,89.8,80.2,6.8,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.15_materiales5_c.png
4,0.15,T,23.7,38.8,79.7,20.1,99.8,99.4,95.3,87.3,77.2,6.8,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.15_materiales5_c.png
5,0.15,T,23.7,39.7,82.4,17.4,99.8,99.2,93.2,82.9,70,6.8,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.15_materiales5_c.png
6,0.15,T,23.7,42.6,83.8,15.6,99.4,97.8,88.4,75.7,63.3,6.8,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.15_materiales5_c.png
8,0.15,T,23.7,34.2,88.2,11.3,99.5,95.8,82.3,63.9,51,6.8,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.15_materiales5_c.png
10,0.15,T,23.7,23,91.5,7.3,98.8,91.8,71.9,52.2,40,6.8,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.15_materiales5_c.png
3,0.2,T,23.7,56.3,60.9,39.1,100,100,99.6,97.1,91.9,5.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.2_materiales5_c.png
4,0.2,T,23.7,63.1,61.2,38.8,100,100,99.3,96.1,90.2,5.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.2_materiales5_c.png
5,0.2,T,23.7,53.1,67.7,32.2,99.9,99.9,98.5,93.5,86.2,5.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.2_materiales5_c.png
6,0.2,T,23.7,51.2,73.7,26.2,99.9,99.7,96.6,89.7,80.6,5.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.2_materiales5_c.png
8,0.2,T,23.7,42.6,78.2,21.6,99.8,99.3,93.5,83.1,69.6,5.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.2_materiales5_c.png
10,0.2,T,23.7,30,84.7,15,99.8,98.5,88.8,73.3,59.1,5.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.2_materiales5_c.png
3,0.25,T,23.7,74.6,43,56.8,99.8,99.8,99.8,99.3,97.2,4.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.25_materiales5_c.png
4,0.25,T,23.7,76.4,45.4,54.6,100,100,100,99,95.7,4.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.25_materiales5_c.png
5,0.25,T,23.7,65.2,50.6,49.4,100,100,99.8,98,93.6,4.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.25_materiales5_c.png
6,0.25,T,23.7,64.6,56.6,43.3,99.9,99.9,99.4,95.7,89.5,4.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.25_materiales5_c.png
8,0.25,T,23.7,54.2,65.9,34.1,100,100,98.7,92.5,83.8,4.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.25_materiales5_c.png
10,0.25,T,23.7,36.8,74,25.7,99.7,99.6,96.1,86.3,72.8,4.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.25_materiales5_c.png
3,0.3,T,23.7,100.2,29.9,70.1,100,100,100,99.9,98.9,3.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.3_materiales5_c.png
4,0.3,T,23.7,89.9,32.4,67.6,100,100,100,99.7,98.7,3.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.3_materiales5_c.png
5,0.3,T,23.7,82.5,39,61,100,100,100,99.3,96.9,3.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.3_materiales5_c.png
6,0.3,T,23.7,79,45,55,100,100,99.9,98.6,95.1,3.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.3_materiales5_c.png
8,0.3,T,23.7,63.8,55.7,44.3,100,100,99.6,96.6,90.4,3.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.3_materiales5_c.png
10,0.3,T,23.7,44.5,65.9,34,99.9,99.9,98.8,93.3,84.3,3.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.3_materiales5_c.png
